,product_url,overall_ratings,is_vegan,is_cruelty_free,award_wins,is_clean_product,has_clinical_results,has_alcohol,price,sizing_options_count,image_count,video_count,combination_skin_type,dry_skin_type,normal_skin_type,oily_skin_type,sensitive_skin_type,wrinkles_skincare_concerns,dryness_skincare_concerns,dark_circles_skincare_concerns,uneven_tone_skincare_concerns,loss_of_firmness_skincare_concerns,acne_skincare_concerns,dark_spots_skincare_concerns,targets_signs_of_aging_skincare_concerns,puffiness_skincare_concerns,lightweight_liquid_skincare_concerns,uneven_texture_skincare_concerns,redness_skincare_concerns,oiliness_skincare_concerns,makeup_removal_skincare_concerns,pores_skincare_concerns,from_famous_brand
24,https://www.sephora.com/product/hydra-zen-anti-stress-moisturizing-face-cream-P422428?icid2=products grid:p422428,4.0,0,0,0,0,0,1,48.0,1,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25,https://www.sephora.com/product/sephora-collection-clean-cleansing-gentle-exfoliating-wipes-P460723?icid2=products grid:p460723,2.5,0,0,0,1,0,1,8.0,2,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,https://www.sephora.com/product/firming-sleeping-cream-P445726?icid2=products grid:p445726,4.0,1,0,0,1,1,1,17.0,1,3,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
27,https://www.sephora.com/product/5-in-1-face-cream-spf-30-P263006?icid2=products grid:p263006,4.0,1,1,0,1,1,1,40.0,1,2,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
28,https://www.sephora.com/product/rose-floral-toner-mini-P435387?icid2=products grid:p435387,3.5,0,0,0,1,1,1,15.0,1,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,https://www.sephora.com/product/argan-moonstone-drops-makeup-priming-highlighting-oil-P422538?icid2=products grid:p422538,4.5,0,0,0,1,0,1,48.0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,https://www.sephora.com/product/retinoic-nutrient-face-oil-P379704?icid2=products grid:p379704,4.0,1,1,0,1,0,1,132.0,1,2,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,https://www.sephora.com/product/clinique-moisture-surge-trade-intense-72h-lipid-replenishing-hydrator-P463613?icid2=products grid:p463613,3.0,0,0,0,0,1,1,41.0,1,7,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,https://www.sephora.com/product/ren-overnight-glow-dark-spot-sleeping-cream-P457512?icid2=products grid:p457512,4.0,1,1,0,1,0,1,52.0,1,7,2,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
33,https://www.sephora.com/product/anti-wrinkle-miracle-worker-night-line-correcting-overnight-cream-P440473?icid2=products grid:p440473,4.0,0,0,0,0,1,1,69.0,1,2,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,https://www.sephora.com/product/skin-smoothing-exfoliator-P440066?icid2=products grid:p440066,5.0,0,0,0,0,0,0,48.0,1,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
35,https://www.sephora.com/product/matcha-cleanser-P419519?icid2=products grid:p419519,4.0,0,0,0,0,0,1,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,https://www.sephora.com/product/uv-expert-aquagel-defense-primer-moisturizer-spf-50-P442750?icid2=products grid:p442750,4.5,0,0,0,0,0,0,40.0,1,8,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,https://www.sephora.com/product/ultra-repair-face-moisturizer-P375534?icid2=products grid:p375534,4.0,1,1,0,1,0,1,28.0,1,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,https://www.sephora.com/product/sports-bb-spf-50-P442732?skuId=2219673&icid2=products grid:p442732,4.0,0,0,0,0,1,1,38.0,1,3,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
39,https://www.sephora.com/product/plantscription-spf-25-power-anti-aging-cream-P409834?icid2=products grid:p409834,4.5,0,0,0,1,0,1,64.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,https://www.sephora.com/product/aha-bha-exfoliating-cleanser-P4010?icid2=products grid:p4010,4.5,0,0,0,0,0,1,42.0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,https://www.sephora.com/product/gold-camellia-beauty-oil-P403315?icid2=products grid:p403315,4.5,0,0,0,1,0,1,95.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,https://www.sephora.com/product/immortelle-precious-cream-P451994?icid2=products grid:p451994,4.5,0,1,0,0,0,1,65.0,1,2,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
43,https://www.sephora.com/product/korres-wild-rose-petal-soft-cream-exfoliator-P456419?icid2=products grid:p456419,4.5,1,1,0,1,0,1,28.0,1,4,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
44,https://www.sephora.com/product/farmacy-deep-sweep-2-bha-pore-cleaning-toner-with-moringa-papaya-P459141?icid2=products grid:p459141,4.5,1,1,0,1,0,0,28.0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
45,https://www.sephora.com/product/face-cleanser-P248404?icid2=products grid:p248404,4.5,1,1,0,1,0,1,22.0,3,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
46,https://www.sephora.com/product/clinique-all-about-clean-trade-2-in-1-cleansing-exfoliating-jelly-P469451?icid2=products grid:p469451,5.0,0,0,0,0,0,1,24.0,1,7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
47,https://www.sephora.com/product/alpyn-beauty-plantgenius-melt-moisturizer-with-bakuchiol-P455237?icid2=products grid:p455237,4.5,1,1,0,1,1,1,60.0,1,6,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,https://www.sephora.com/product/moisture-surge-cc-cream-hydrating-colour-corrector-broad-spectrum-spf-30-P378639?icid2=products grid:p378639,4.0,0,0,0,0,0,1,39.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,https://www.sephora.com/product/genius-sleeping-collagen-P439055?icid2=products grid:p439055,4.5,0,0,0,0,1,1,98.0,1,7,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
50,https://www.sephora.com/product/triple-action-cleansing-water-P297132?icid2=products grid:p297132,4.0,1,0,0,0,0,1,12.0,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,https://www.sephora.com/product/mineral-water-spray-duo-to-go-P230538?icid2=products grid:p230538,4.5,0,0,0,1,1,1,16.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,https://www.sephora.com/product/shiseido-waso-giga-hydrating-rich-cream-P454788?icid2=products grid:p454788,4.5,0,0,0,0,1,1,38.0,1,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
53,https://www.sephora.com/product/dr-barbara-sturm-cleanser-P447783?icid2=products grid:p447783,4.5,1,1,0,1,0,1,70.0,1,6,2,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
54,https://www.sephora.com/product/josie-maran-argan-daily-moisturizer-tinted-spf-47-P464773?icid2=products grid:p464773,2.5,0,1,0,1,0,1,34.0,1,3,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,https://www.sephora.com/product/green-tea-hydrating-cleansing-foam-P449843?icid2=products grid:p449843,4.0,0,0,0,0,0,0,10.0,1,3,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
56,https://www.sephora.com/product/hydrating-face-tonic-P270607?icid2=products grid:p270607,4.5,0,0,0,0,0,0,38.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,https://www.sephora.com/product/glow-recipe-watermelon-glow-pha-bha-pore-tight-toner-P458219?icid2=products grid:p458219,4.5,1,1,0,1,1,1,34.0,2,4,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
58,https://www.sephora.com/product/jlo-beauty-that-blockbuster-wonder-night-cream-with-hyaluronic-acid-P467124?icid2=products grid:p467124,4.0,0,1,0,0,1,0,58.0,1,3,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,https://www.sephora.com/product/vinopure-pore-purifying-gel-cleanser-P446939?icid2=products grid:p446939,4.5,1,0,0,1,1,0,28.0,1,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
60,https://www.sephora.com/product/cleansing-spa-water-P294007?icid2=products grid:p294007,4.5,0,0,0,0,0,1,66.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,https://www.sephora.com/product/purity-made-simple-facial-cleansing-gel-eye-makeup-remover-P303021?icid2=products grid:p303021,4.5,0,0,0,0,0,1,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,https://www.sephora.com/product/bloomstay-vitalizing-water-P448921?icid2=products grid:p448921,5.0,0,0,0,0,0,1,75.0,1,5,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,https://www.sephora.com/product/sephora-collection-all-over-solid-cleanser-P457444?icid2=products grid:p457444,4.0,1,1,0,1,0,1,4.0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
64,https://www.sephora.com/product/one-step-gentle-exfoliating-facial-cleanser-P94812?icid2=products grid:p94812,4.5,0,0,0,0,0,1,38.0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
